query_name,ewg_ingredient_id,inci_name,ewg_hazard_score,ewg_hazard_label,ewg_concerns_raw,concern_cancer,concern_developmental,concern_allergy,concern_endocrine,concern_organ_tox,concern_irritation,concern_restricted,concern_contamination,data_availability,function_tags,also_known_as,description,ewg_verified,source
cocoa butter,cocoa butter,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
wheat germ oil,wheat germ oil,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
palm oil,palm oil,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
soybean oil,soybean oil,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
acetylated lanolin,acetylated lanolin,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
phenoxyethanol,phenoxyethanol,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
ethylhexylglycerin,ethylhexylglycerin,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
potassium sorbate,potassium sorbate,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
sodium benzoate,sodium benzoate,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
chlorphenesin,chlorphenesin,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
caprylyl glycol,caprylyl glycol,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
oxybenzone,oxybenzone,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
avobenzone,avobenzone,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
octinoxate,octinoxate,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
octocrylene,octocrylene,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
homosalate,homosalate,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
carbomer,carbomer,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
xanthan gum,xanthan gum,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
cetyl alcohol,cetyl alcohol,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
stearyl alcohol,stearyl alcohol,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
cetearyl alcohol,cetearyl alcohol,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
polysorbate 20,polysorbate 20,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
polysorbate 80,polysorbate 80,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
citric acid,citric acid,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
sodium hydroxide,sodium hydroxide,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
triethanolamine,triethanolamine,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
